rid,name,address1,address2,city,state,zip
TEST12341,LABCORP,7150 W 20TH AVE STE 213,PAL-MED  BLDG.,HIALEAH,FL,33016
mgtindummy003,"Jurkovich, David (Practice: David Jurkovich)",1779 N UNIVERSITY DR,STE 204,PEMBROKE PINES,FL,33024
referralMNRef057,CentraCare - Monticello,1013 Hart Blvd,"",Monticello,MN,55362
TEST12342,LABCORP,100 NW 170TH ST STE 205,NORTH PARK MEDICAL BLDG.,NORTH MIAMI BEACH,FL,33169
referralMNRef058,CentraCare - Monticello,1013 Hart Blvd,"",Monticello,MN,55362
referralMNRef059,CentraCare - Monticello,1107 Hart Blvd,"",Monticello,MN,55362
referralMNRef060,CentraCare - Paynesville,200 W 1st St,"",Paynesville,MN,56362
MN_ORTHO1,Stellis Health PA - Buffalo,1700 Highway 25 N,"",Buffalo,MN,55313
referralMNRef061,CentraCare - Paynesville,200 W 1st St,"",Paynesville,MN,56362
referralMNRef099,HCMC - Whittier Clinic & Pharmacy,2810 Nicollet Ave S,"",Minneapolis,MN,55408
referralMNRef100,HCMC - Golden Valley Clinic,5653 Duluth St,"",Golden Valley,MN,55422
referralMNRef101,HealthPartners Specialty Center - Orthopaedic & Sports Medicine,435 Phalen Blvd,"",Saint Paul,MN,55130
referralMNRef102,Lake Region - Main Fergus Falls Clinic,111 W Vernon Ave,"",Fergus Falls,MN,56537
referralMNRef103,Mayo Health System - Albert Lea,404 W Fountain St,"",Albert Lea,MN,56007
referralMNRef104,Mayo Health System - Faiirmont,800 Medical Center Dr,"",Fairmont,MN,56031
referralMNRef105,Mayo Health System - Austin,1000 1st Dr NW,"",Austin,MN,55912
referralMNRef106,Mayo Health System - Mankato,1025 Marsh St,"",Mankato,MN,56001
referralMNRef107,Mayo Health System - Owatonna,2200 NW 26th St,"",Owatonna,MN,55060
referralMNRef108,Mayo Health System - New Prague,301 2nd St NE,"",New Prague,MN,56071
referralMNRef109,Mayo Health System - Faribault,300 State Ave,"",Faribault,MN,55021
referralMNRef110,Mayo Health System - Red Wing,701 Hewitt Blvd,"",Red Wing,MN,55066
referralMNRef111,Mayo Health System - Zumbrota,1350 Jefferson Dr,"",Zumbrota,MN,55992
referralMNRef112,Mayo Health System - Onalaska,191 Theatre Rd,"",Onalaska,WI,54650
referralMNRef113,Mayo Health System - Arcadia,895 Dettloff Dr,"",Arcadia,WI,54612
referralMNRef114,Northfield - Orthopedic Clinic,1381 Jefferson Rd,"",Northfield,MN,55057
referralMNRef115,Northfield - Lakeville Clinic,9974 214th St W,"",Lakeville,MN,55044
referralMNRef116,Northfield - Faribault Clinic,1980 30TH ST NW,"",Faribault,MN,55021
referralMNRef117,Olmsted - Sports Med & Athletic Performance,5155 55TH ST NW,"",Rochester,MN,55901
referralMNRef119,Healthpartners TRIA Orthopedics Maple Grove,9555 Upland Ln N,"",Maple Grove,MN,55369
referralMNRef120,Park Nicollet Clinic and Specialty Center Burnsville,14050 Fairview Dr,"",Burnsville,MN,55337
referralMNRef121,Healthpartners Park Nicollet Specialty Center at Methodist Hospital,3931 Louisiana Ave S,"",Saint Louis Park,MN,55426
referralMNRef122,Healthpartners TRIA Orthopedic Center Bloomington,8100 Northland Dr,"",Bloomington,MN,55431
referralMNRef123,Healthpartners TRIA Orthopedic Center Woodbury,155 Radio Drive,"",Woodbury,MN,55125
